Elk_ID	Feedground	CollarType	GPSCollar	CaptureDate	Start_Interval	Stop_Interval	TrustRating	VIT_Status	PET	CowSero	VIT_Bruc	Recovered	RecoveryInterval
588	Buffalo	VHF	No	1/17/2007	1/17/2007	5/22/2007	5	Parturition	Bad	NEG	NA	6/1/2007	10
589	Buffalo	VHF	No	1/16/2007	6/2/2007	6/7/2007	5	Parturition	Bad	NEG	NA	6/17/2007	10
592	Buffalo	VHF	No	1/16/2007	6/2/2007	6/7/2007	5	Parturition	Bad	NEG	NA	6/17/2007	10
594	Buffalo	GPS	Yes	1/16/2007	6/12/2007	6/14/2007	5	Parturition	Bad	POS	NA	6/24/2007	10
608	Greys	VHF	No	2/3/2012	6/5/2012	6/11/2012	2	Parturition	Bad	NEG	NA	6/21/2012	10
732	Fall	GPS	Yes	2/24/2013	5/21/2013	5/26/2013	2	Parturition	Bad	NEG	NA	6/5/2013	10
740	Fall	GPS	Yes	2/24/2013	6/3/2013	6/10/2013	2	Parturition	Bad	NEG	NA	6/20/2013	10
751	Patrol	GPS	Yes	2/25/2013	5/26/2013	6/2/2013	2	Parturition	Bad	NEG	NA	6/12/2013	10
159	Soda	None	No	2/28/2006	5/28/2006	5/29/2006	5	Parturition	Bad	NEG	NEG	6/7/2006	9
295	Bench	None	No	2/20/2006	6/3/2006	6/4/2006	5	Parturition	Bad	NEG	NA	6/13/2006	9
306	Bench	None	No	2/26/2006	6/1/2006	6/2/2006	5	Parturition	Bad	NEG	NA	6/11/2006	9
506	Fall	GPS	Yes	2/9/2011	6/7/2011	6/8/2011	2	Parturition	Good	NEG	NA	6/17/2011	9
600	Buffalo	VHF	No	1/17/2007	1/17/2007	6/1/2007	5	Parturition	Bad	NEG	NA	6/10/2007	9
607	Greys	VHF	No	2/3/2012	6/9/2012	6/12/2012	2	Parturition	Bad	NEG	NA	6/21/2012	9
731	Fall	GPS	Yes	2/24/2013	6/3/2013	6/10/2013	2	Parturition	Bad	NEG	NA	6/19/2013	9
762	Dell	VHF	No	1/31/2013	5/24/2013	5/25/2013	1	Parturition	Good	POS	NA	6/3/2013	9
783	Dog	GPS	Yes	2/13/2014	6/3/2014	6/8/2014	2	Parturition	Poor	POS	NA	6/17/2014	9
019	Bench	None	No	2/7/2006	5/29/2006	5/30/2006	2	Parturition	Bad	NEG	NA	6/7/2006	8
029	Soda	GPS	Yes	1/31/2014	6/18/2014	6/19/2014	2	Parturition	Excellent	NEG	NA	6/27/2014	8
051	Soda	None	No	2/21/2006	5/27/2006	5/28/2006	5	Parturition	Bad	NEG	NEG	6/5/2006	8
061	Bench	None	No	3/7/2007	5/31/2007	6/2/2007	2	Parturition	Bad	NA	NEG	6/10/2007	8
150	UG	GPS	Yes	2/19/2009	6/6/2009	6/8/2009	2	Parturition	Bad	NEG	NEG	6/16/2009	8
155	Soda	None	No	2/21/2006	5/25/2006	5/26/2006	5	Parturition	Bad	NEG	NEG	6/3/2006	8
167	Soda	None	No	3/10/2006	5/31/2006	6/10/2006	5	Parturition	Bad	NEG	NA	6/18/2006	8
181	Dell	VHF	No	2/16/2010	5/24/2010	5/25/2010	1	Parturition	Good	NEG	NA	6/2/2010	8
222	HA99	GPS	Yes	1/27/2010	6/7/2010	6/8/2010	1	Parturition	Good	NEG	NA	6/16/2010	8
309	Scab	None	No	2/12/2006	5/31/2006	6/6/2006	2	Parturition	Bad	NEG	NA	6/14/2006	8
314	Scab	None	No	2/27/2006	6/15/2006	6/23/2006	2	Parturition	Bad	NEG	NA	7/1/2006	8
354	Scab	None	No	3/7/2007	5/19/2007	5/20/2007	5	Parturition	Bad	NEG	NEG	5/28/2007	8
368	Soda	GPS	Yes	3/13/2011	6/7/2011	6/8/2011	1	Parturition	Good	NEG	NA	6/16/2011	8
403	Forest	GPS	Yes	2/5/2011	5/29/2011	5/30/2011	1	Parturition	Good	POS	NEG	6/7/2011	8
512	Patrol	GPS	Yes	2/14/2011	6/2/2011	6/6/2011	2	Parturition	Bad	NEG	NA	6/14/2011	8
522	UG	GPS	Yes	2/25/2011	6/4/2011	6/10/2011	2	Parturition	Bad	NEG	NA	6/18/2011	8
549	Buffalo	VHF	No	3/1/2006	6/1/2006	6/6/2006	5	Parturition	Bad	NEG	NA	6/14/2006	8
559	Buffalo	VHF	No	3/1/2006	3/1/2006	5/30/2006	7	Unknown	NA	NEG	NA	6/7/2006	8
571	Buffalo	VHF	No	3/1/2006	3/1/2006	6/1/2006	5	Parturition	Bad	NEG	NA	6/9/2006	8
766	Greys	VHF	No	2/16/2013	6/5/2013	6/11/2013	2	Parturition	Bad	NEG	NA	6/19/2013	8
052	Soda	None	No	3/9/2006	4/2/2006	6/7/2006	5	Parturition	Bad	POS	NEG	6/14/2006	7
052	Soda	None	No	1/15/2007	5/27/2007	5/28/2007	1	Parturition	Good	POS	NEG	6/4/2007	7
112	Greys	GPS	Yes	2/6/2009	5/30/2009	5/31/2009	1	Parturition	Good	POS	NEG	6/7/2009	7
133	Greys	GPS	Yes	2/25/2010	5/30/2010	6/6/2010	2	Parturition	Bad	NEG	NEG	6/13/2010	7
161	Soda	None	No	2/28/2006	5/29/2006	5/30/2006	5	Parturition	Bad	NEG	NEG	6/6/2006	7
162	Bench	None	No	3/4/2007	5/31/2007	6/2/2007	2	Parturition	Bad	NEG	NEG	6/9/2007	7
282	Scab	None	No	1/16/2007	6/5/2007	6/6/2007	1	Parturition	Good	NEG	NEG	6/13/2007	7
294	Bench	None	No	3/14/2006	5/10/2006	6/9/2006	2	Parturition	Bad	NEG	NA	6/16/2006	7
317	Scab	None	No	2/12/2006	5/31/2006	6/9/2006	2	Parturition	Bad	NEG	NA	6/16/2006	7
320	Soda	None	No	2/28/2006	4/25/2006	4/26/2006	4	Abortion	Bad	POS	NEG	5/3/2006	7
345	Scab	None	No	2/26/2007	6/5/2007	6/6/2007	1	Parturition	Good	NEG	NEG	6/13/2007	7
372	Soda	None	No	2/11/2007	5/31/2007	6/3/2007	2	Parturition	Bad	NEG	NEG	6/10/2007	7
382	Dell	VHF	No	1/15/2011	6/10/2011	6/11/2011	1	Parturition	Good	NEG	NEG	6/18/2011	7
391	Dell	VHF	No	1/21/2011	4/14/2011	4/15/2011	4	Abortion	Bad	NEG	POS	4/22/2011	7
409	Muddy	GPS	Yes	2/7/2011	5/24/2011	5/25/2011	1	Parturition	Good	NEG	NA	6/1/2011	7
513	Patrol	GPS	Yes	2/14/2011	6/2/2011	6/6/2011	2	Parturition	Bad	NEG	NA	6/13/2011	7
675	McNeel	GPS	Yes	2/22/2012	5/23/2012	5/24/2012	1	Parturition	Good	POS	NA	5/31/2012	7
692	McNeel	GPS	Yes	3/15/2012	6/17/2012	6/18/2012	2	Parturition	Good	NEG	NA	6/25/2012	7
694	Forest	GPS	Yes	2/9/2013	6/2/2013	6/10/2013	2	Parturition	Bad	NEG	NA	6/17/2013	7
806	Scab	GPS	Yes	2/22/2014	6/9/2014	6/12/2014	2	Parturition	Fair	NEG	NA	6/19/2014	7
812	UG	GPS	Yes	2/25/2014	6/19/2014	6/20/2014	2	Parturition	Excellent	NEG	NA	6/27/2014	7
061	Bench	None	No	2/14/2006	5/10/2006	5/31/2006	2	Parturition	Bad	POS	NEG	6/6/2006	6
136	Fall	GPS	Yes	1/28/2009	5/30/2009	6/5/2009	2	Parturition	Bad	NEG	NEG	6/11/2009	6
171	Muddy	GPS	Yes	1/25/2010	5/31/2010	6/1/2010	1	Parturition	Good	NEG	NEG	6/7/2010	6
174	Muddy	GPS	Yes	1/25/2010	5/19/2010	5/20/2010	1	Parturition	Good	NEG	NEG	5/26/2010	6
183	Jewett	GPS	Yes	2/9/2010	5/24/2010	5/25/2010	1	Parturition	Good	NEG	NEG	5/31/2010	6
257	Dell	VHF	No	2/23/2010	5/21/2010	5/25/2010	5	Parturition	Bad	NEG	NEG	5/31/2010	6
284	Bench	None	No	2/20/2006	5/27/2006	5/28/2006	1	Parturition	Bad	POS	NA	6/3/2006	6
313	Scab	None	No	2/27/2006	5/31/2006	6/6/2006	2	Parturition	Bad	POS	NA	6/12/2006	6
316	Scab	None	No	2/27/2006	5/20/2006	6/9/2006	2	Parturition	Bad	NEG	NA	6/15/2006	6
319	Scab	None	No	2/27/2006	5/31/2006	6/23/2006	2	Parturition	Bad	NEG	NA	6/29/2006	6
327	Scab	None	No	1/5/2007	6/6/2007	6/7/2007	1	Parturition	Good	NEG	NEG	6/13/2007	6
333	Scab	None	No	1/16/2007	6/10/2007	6/11/2007	1	Parturition	Bad	POS	NEG	6/17/2007	6
342	Scab	None	No	2/20/2007	6/5/2007	6/6/2007	1	Parturition	Good	NEG	NEG	6/12/2007	6
366	Soda	None	No	1/15/2007	5/26/2007	5/27/2007	5	Parturition	Bad	NEG	NEG	6/2/2007	6
371	Soda	None	No	2/11/2007	5/22/2007	5/23/2007	5	Parturition	Bad	NEG	NEG	5/29/2007	6
381	Franz	GPS	Yes	3/11/2009	5/30/2009	6/1/2009	2	Parturition	Bad	POS	NEG	6/7/2009	6
393	McNeel	GPS	Yes	1/30/2011	4/8/2011	4/10/2011	2	Abortion	Bad	POS	NEG	4/16/2011	6
407	Muddy	GPS	Yes	2/7/2011	5/24/2011	5/25/2011	1	Parturition	Good	POS	NEG	5/31/2011	6
547	Buffalo	VHF	No	3/1/2006	6/1/2006	6/11/2006	5	Unknown	NA	NEG	NA	6/17/2006	6
563	Buffalo	VHF	No	3/1/2006	3/1/2006	5/22/2006	5	Parturition	Bad	POS	NA	5/28/2006	6
568	Buffalo	GPS	Yes	3/1/2006	3/1/2006	6/7/2006	5	Parturition	Bad	POS	NA	6/13/2006	6
691	McNeel	GPS	Yes	3/15/2012	5/23/2012	5/24/2012	5	Parturition	Bad	POS	NA	5/30/2012	6
723	Muddy	GPS	Yes	2/21/2013	6/12/2013	6/13/2013	1	Parturition	Good	NEG	NA	6/19/2013	6
