ID,Feedground,Capture Date,Start Interval,Stop Interval,Event Type,Brucella,Data Quality
165,Soda,3/9/2006,3/9/2006,6/4/2006,Birth,NEG,5
166,Soda,3/10/2006,3/10/2006,6/4/2006,Birth,NEG,5
167,Soda,3/10/2006,3/10/2006,6/5/2006,Birth,NEG,5
168,Greys,1/21/2010,5/30/2010,6/10/2010,Birth,POS,2
169,Greys,1/21/2010,6/4/2010,6/9/2010,Birth,POS,2
170,Greys,1/21/2010,6/21/2010,6/29/2010,Birth,NEG,2
171,Muddy,1/25/2010,5/31/2010,6/1/2010,Birth,NEG,1
172,Muddy,1/25/2010,6/10/2010,6/11/2010,Birth,NEG,1
173,Muddy,1/25/2010,6/10/2010,6/11/2010,Birth,NEG,1
174,Muddy,2/21/2011,5/27/2011,6/4/2011,Birth,NEG,2
174,Muddy,1/25/2010,5/19/2010,5/20/2010,Birth,NEG,1
176,Dell,2/16/2010,,,Open,NEG,7
177,Dell,2/16/2010,2/16/2010,5/30/2010,Birth,NEG,5
178,Dell,2/16/2010,,,Open,POS,7
179,Dell,2/16/2010,4/3/2010,4/4/2010,Abortion,POS,1
180,Dell,2/16/2010,5/16/2010,5/17/2010,Birth,NEG,1
181,Dell,2/16/2010,5/24/2010,5/25/2010,Birth,NEG,1
182,Dell,2/16/2010,,,Open,POS,7
182,Dell,1/21/2011,5/27/2011,5/31/2011,Birth,POS,2
183,Jewett,2/9/2010,5/24/2010,5/25/2010,Birth,NEG,1
184,Jewett,2/9/2010,6/3/2010,6/14/2010,Birth,NEG,2
186,Jewett,2/9/2010,5/25/2010,5/26/2010,Birth,NEG,1
188,Franz,2/9/2010,5/29/2010,5/30/2010,Birth,POS,1
189,Franz,2/9/2010,6/3/2010,6/4/2010,Birth,POS,1
190,Franz,2/9/2010,5/19/2010,5/20/2010,Birth,NEG,1
191,South,2/17/2010,5/31/2010,6/1/2010,Birth,POS,1
192,South,2/17/2010,5/26/2010,5/27/2010,Birth,NEG,1
193,South,2/17/2010,5/7/2010,5/30/2010,Birth,POS,2
194,South,2/17/2010,5/30/2010,6/3/2010,Birth,NEG,2
195,HA99,3/15/2011,6/2/2011,6/3/2011,Birth,NEG,1
195,HA99,1/27/2010,5/23/2010,5/24/2010,Birth,NEG,1
197,Spring,1/28/2010,5/30/2010,6/1/2010,Birth,NEG,2
198,HA99,1/27/2010,5/25/2010,5/30/2010,Birth,NEG,2
199,UGNWR,1/26/2010,,,Unknown,NEG,7
200,UGNWR,1/26/2010,5/30/2010,5/31/2010,Birth,NEG,1
201,UGNWR,1/26/2010,6/9/2010,6/21/2010,Birth,NEG,2
202,HA99,1/27/2010,5/30/2010,5/31/2010,Birth,POS,1
203,Spring,1/28/2010,5/25/2010,5/26/2010,Birth,NEG,1
204,Spring,1/28/2010,6/8/2010,6/9/2010,Birth,NEG,1
205,Spring,1/28/2010,5/30/2010,5/31/2010,Birth,NEG,1
206,UGNWR,1/26/2010,5/28/2010,5/29/2010,Birth,NEG,1
206,UG,2/25/2011,6/21/2011,6/28/2011,Birth,NEG,2
207,UGNWR,1/26/2010,5/30/2010,6/10/2010,Birth,NEG,2
208,UGNWR,1/26/2010,6/9/2010,6/21/2010,Birth,NEG,2
209,Spring,1/28/2010,5/27/2010,5/28/2010,Birth,NEG,1
212,HA99,1/27/2010,5/7/2010,5/25/2010,Birth,NEG,2
213,HA99,3/15/2011,5/31/2011,6/1/2011,Birth,NEG,1
213,HA99,1/27/2010,5/28/2010,5/29/2010,Birth,NEG,1
214,HA99,1/27/2010,5/24/2010,5/25/2010,Birth,NEG,1
215,HA99,1/26/2010,6/14/2010,6/21/2010,Birth,NEG,2
216,Spring,1/28/2010,5/7/2010,5/25/2010,Birth,NEG,2
217,HA99,3/15/2011,,,Unknown,NEG,7
218,HA99,1/26/2010,,,Unknown,NEG,7
218,HA99,3/16/2011,6/21/2011,6/23/2011,Birth,NEG,2
219,Spring,1/28/2010,5/7/2010,5/25/2010,Birth,NEG,2
220,HA99,1/27/2010,1/27/2010,5/25/2010,Birth,NEG,5
220,HA99,3/15/2011,6/28/2011,7/12/2011,Birth,NEG,2
221,UGNWR,1/26/2010,6/7/2010,6/8/2010,Birth,NEG,1
222,HA99,3/15/2011,,,Open,NEG,7
222,HA99,1/27/2010,6/7/2010,6/8/2010,Birth,NEG,1
223,Spring,1/28/2010,6/14/2010,6/21/2010,Birth,NEG,2
224,HA99,1/26/2010,5/30/2010,5/31/2010,Birth,NEG,1
224,HA99,3/16/2011,6/7/2011,6/8/2011,Birth,NEG,1
225,HA99,1/27/2010,6/5/2010,6/6/2010,Birth,NEG,1
226,HA99,1/27/2010,5/30/2010,5/31/2010,Birth,NEG,1
226,HA99,3/15/2011,6/2/2011,6/3/2011,Birth,NEG,1
227,UGNWR,1/26/2010,5/26/2010,5/27/2010,Birth,NEG,1
228,Spring,1/28/2010,5/29/2010,5/30/2010,Birth,NEG,1
229,HA99,1/27/2010,5/17/2010,5/21/2010,Birth,NEG,2
245,Alkali,2/14/2012,6/8/2012,6/12/2012,Birth,NEG,2
245,Alkali,2/24/2010,6/30/2010,7/10/2010,Birth,NEG,2
246,Alkali,2/24/2010,5/7/2010,5/30/2010,Birth,NEG,2
248,Alkali,2/24/2010,5/28/2010,5/29/2010,Birth,NEG,1
249,Alkali,2/24/2010,6/13/2010,6/14/2010,Birth,POS,1
250,Alkali,2/24/2010,5/22/2010,5/25/2010,Birth,NEG,2
251,Dog,3/1/2010,5/22/2010,5/24/2010,Birth,POS,2
254,Franz,3/2/2010,6/1/2010,6/2/2010,Birth,POS,1
255,Franz,3/2/2010,3/2/2010,5/30/2010,Birth,NEG,5
256,Finnegan,3/22/2010,6/1/2010,6/2/2010,Birth,NEG,1
257,Dell,1/21/2011,5/26/2011,5/27/2011,Birth,NEG,1
257,Dell,2/23/2010,2/23/2010,5/30/2010,Birth,NEG,5
258,Dell,2/23/2010,2/23/2010,5/30/2010,Birth,POS,5
259,Dell,2/23/2010,3/5/2010,3/6/2010,Abortion,POS,1
281,Bench,2/7/2006,2/7/2006,6/4/2006,Birth,NEG,5
282,Scab,1/16/2007,6/5/2007,6/6/2007,Birth,NEG,1
283,Bench,2/20/2006,5/27/2006,5/31/2006,Birth,NEG,2
284,Bench,2/20/2006,5/27/2006,5/28/2006,Birth,POS,1
285,Bench,2/26/2006,,,Open,NEG,7
286,Bench,2/20/2006,5/28/2006,6/5/2006,Birth,NEG,2
287,Bench,2/26/2006,2/26/2006,6/16/2006,Birth,NEG,5
288,Bench,3/14/2006,3/14/2006,6/19/2006,Birth,POS,5
289,Bench,2/7/2006,2/7/2006,6/1/2006,Birth,NEG,5
290,Bench,2/14/2006,5/10/2006,6/8/2006,Birth,NEG,2
291,Bench,2/14/2006,,,Unknown,NEG,7
292,Bench,2/26/2006,,,Unknown,NEG,7
293,Bench,2/20/2006,2/20/2006,5/29/2006,Birth,NEG,5
294,Bench,3/14/2006,5/10/2006,6/9/2006,Birth,NEG,2
295,Bench,2/20/2006,2/20/2006,6/4/2006,Birth,NEG,5
296,Bench,3/14/2006,3/14/2006,5/17/2006,Birth,NEG,5
297,Bench,2/7/2006,2/7/2006,6/1/1961,Birth,NEG,5
298,Bench,2/20/2006,5/10/2006,5/18/2006,Birth,NEG,2
299,Bench,2/24/2006,2/24/2006,5/24/2006,Birth,NEG,5
300,Bench,3/14/2006,3/14/2006,5/31/2006,Birth,NEG,5
301,Bench,3/14/2006,3/14/2006,5/28/2006,Birth,NEG,5
302,Bench,3/14/2006,3/14/2006,5/28/2006,Birth,NEG,5
303,Bench,2/7/2006,2/7/2006,2/19/2006,Abortion,NEG,2
304,Bench,2/26/2006,2/26/2006,5/18/2006,Birth,NEG,5
305,Bench,2/26/2006,2/26/2006,5/29/2006,Birth,NEG,5
306,Bench,2/26/2006,2/26/2006,6/2/2006,Birth,NEG,5
307,Bench,2/26/2006,2/26/2006,6/4/2006,Birth,NEG,5
308,Bench,2/26/2006,2/26/2006,5/21/2006,Birth,NEG,5
309,Scab,2/12/2006,5/31/2006,6/6/2006,Birth,NEG,2
310,Scab,2/27/2006,2/27/2006,6/2/2006,Birth,NEG,5
311,Scab,2/27/2006,5/10/2006,5/30/2006,Birth,NEG,2
312,Scab,2/12/2006,2/12/2006,4/21/2006,Unknown,NEG,6
